Method,Brier,REL,RES,BS-residual,sumECE,Accuracy,BalAcc,MacroF1,DivF1,Div recall@0.15,Div precision@0.15
RF-direct,0.2802239393036024,0.04980439440696539,0.1375984236809488,-0.0009539215571468772,0.28907161100501144,0.7885572139303483,0.5696625599879396,0.5336724858825305,0.09523809523809523,0.6,0.11029411764705882
Direct SVGP,0.33971961141284296,0.10627523446629475,0.134325266324757,-0.0012022468634274655,0.3226617231156316,0.8059701492537313,0.5809566244273402,0.5507026913077085,0.11428571428571428,0.36,0.34615384615384615
RF-threshold,0.24394018445631407,0.02689508406957651,0.15212561676495806,0.00019882701696293664,0.16272864920463995,0.824212271973466,0.5824930415385946,0.5671427954015039,0.17391304347826086,0.56,0.058091286307053944
GP-threshold,0.31145251634077753,0.06469322609688055,0.12253357303058349,0.0003209731397477711,0.24469819687266148,0.7794361525704809,0.6047078004561736,0.5270106779319225,0.18045112781954886,0.72,0.056962025316455694
